,Heuristica,Configuração,Z-score médio,Desvio padrão,Rank médio,Tempo médio
0,Genético,"{'pop_size': 10, 'cross_ratio': 0.75, 'mut_ratio': 0.2, 'max_time': 1}",-2.2364164710734458,0.35354907836642413,21.6,0.94703125
1,Genético,"{'pop_size': 10, 'cross_ratio': 0.85, 'mut_ratio': 0.2, 'max_time': 1}",-2.1256850125653317,0.21974722248967105,24.7,0.9882812499999998
2,Genético,"{'pop_size': 10, 'cross_ratio': 0.95, 'mut_ratio': 0.2, 'max_time': 1}",-1.504171993647534,0.4472769984671171,60.1,0.9573437499999999
3,Genético,"{'pop_size': 10, 'cross_ratio': 0.75, 'mut_ratio': 0.1, 'max_time': 1}",-0.28184325532272925,0.4986498404488768,188.5,0.7665624999999999
4,Genético,"{'pop_size': 30, 'cross_ratio': 0.75, 'mut_ratio': 0.2, 'max_time': 1}",-0.17273190343064213,0.28213404641652096,186.4,1.03515625
5,Grasp,"{'numIter': 20, 'numBest': 5, 'max_time': 1}",-1.9852064331838952,1.6887110901327063,100.25,1.0621875
6,Grasp,"{'numIter': 20, 'numBest': 10, 'max_time': 1}",-1.6190770366388363,0.8897630225081166,65.05,1.07109375
7,Grasp,"{'numIter': 50, 'numBest': 5, 'max_time': 1}",-0.7382441312236273,1.1198381233532044,164.65,1.0596875
8,Grasp,"{'numIter': 20, 'numBest': 15, 'max_time': 1}",-0.4869297252384671,0.9866762315265937,187.75,1.0814062500000001
9,Grasp,"{'numIter': 50, 'numBest': 10, 'max_time': 1}",0.15794968350690303,0.38853049926955835,266.75,1.05453125
10,Simulated Annealing,"{'t': 100, 'alfa': 0.7, 'iter_max': 350, 'max_time': 1}",-0.5519159747041413,0.9841147441016675,179.4,1.015625
11,Simulated Annealing,"{'t': 100, 'alfa': 0.95, 'iter_max': 500, 'max_time': 1}",-0.31452650496023415,0.9137049403757862,204.0,1.015625
12,Simulated Annealing,"{'t': 500, 'alfa': 0.95, 'iter_max': 500, 'max_time': 1}",-0.27874259241476224,1.0063150538391585,201.1,1.015625
13,Simulated Annealing,"{'t': 500, 'alfa': 0.85, 'iter_max': 350, 'max_time': 1}",-0.19606232534375972,0.8861115340394776,219.2,1.01578125
14,Simulated Annealing,"{'t': 100, 'alfa': 0.85, 'iter_max': 500, 'max_time': 1}",-0.18599413481370702,1.0755773614423538,229.5,1.01578125
