,Heuristica,Configuração,Média,Desvio Padrão,Tempo médio,K,Problema
0,Simulated Annealing,"{'t': 500, 'alfa': 0.95, 'iter_max': 350, 'max_time': 1}",280.6184998502034,2.5721788239893946,1.015625,3,Iris
1,Simulated Annealing,"{'t': 500, 'alfa': 0.95, 'iter_max': 500, 'max_time': 1}",282.639037765059,2.3134099657716276,1.015625,3,Iris
2,Simulated Annealing,"{'t': 500, 'alfa': 0.85, 'iter_max': 350, 'max_time': 1}",282.2635058489807,4.1553908561938275,1.015625,3,Iris
3,Simulated Annealing,"{'t': 500, 'alfa': 0.85, 'iter_max': 500, 'max_time': 1}",284.56502450153187,2.6355694961992864,1.015625,3,Iris
4,Simulated Annealing,"{'t': 500, 'alfa': 0.7, 'iter_max': 350, 'max_time': 1}",284.6679003490236,2.473729915513327,1.015625,3,Iris
5,Simulated Annealing,"{'t': 500, 'alfa': 0.7, 'iter_max': 500, 'max_time': 1}",282.4837283967451,3.6089822527221584,1.015625,3,Iris
6,Simulated Annealing,"{'t': 100, 'alfa': 0.95, 'iter_max': 350, 'max_time': 1}",280.64756000962075,5.4536201162045685,1.015625,3,Iris
7,Simulated Annealing,"{'t': 100, 'alfa': 0.95, 'iter_max': 500, 'max_time': 1}",281.742982966034,2.501376635818287,1.015625,3,Iris
8,Simulated Annealing,"{'t': 100, 'alfa': 0.85, 'iter_max': 350, 'max_time': 1}",281.314317094575,2.9601777169669807,1.015625,3,Iris
9,Simulated Annealing,"{'t': 100, 'alfa': 0.85, 'iter_max': 500, 'max_time': 1}",281.5608106116157,2.46995640305687,1.015625,3,Iris
10,Simulated Annealing,"{'t': 100, 'alfa': 0.7, 'iter_max': 350, 'max_time': 1}",281.3490762060045,2.1460247543291406,1.015625,3,Iris
11,Simulated Annealing,"{'t': 100, 'alfa': 0.7, 'iter_max': 500, 'max_time': 1}",284.1186201489912,2.1888864230808287,1.015625,3,Iris
12,Simulated Annealing,"{'t': 50, 'alfa': 0.95, 'iter_max': 350, 'max_time': 1}",281.3443957361734,3.312739838813824,1.015625,3,Iris
13,Simulated Annealing,"{'t': 50, 'alfa': 0.95, 'iter_max': 500, 'max_time': 1}",277.2049096152558,3.9971601483465697,1.015625,3,Iris
14,Simulated Annealing,"{'t': 50, 'alfa': 0.85, 'iter_max': 350, 'max_time': 1}",283.59210619320936,2.203029304675043,1.015625,3,Iris
