,Heuristica,Configuração,Média,Desvio Padrão,Tempo médio,K,Problema
0,Simulated Annealing,"{'t': 500, 'alfa': 0.95, 'iter_max': 350, 'max_time': 1}",45107.30768924565,369.6409011452834,1.015625,2,Wine
1,Simulated Annealing,"{'t': 500, 'alfa': 0.95, 'iter_max': 500, 'max_time': 1}",45411.20835342172,386.43582452198007,1.015625,2,Wine
2,Simulated Annealing,"{'t': 500, 'alfa': 0.85, 'iter_max': 350, 'max_time': 1}",45272.79900338575,384.29186046124045,1.015625,2,Wine
3,Simulated Annealing,"{'t': 500, 'alfa': 0.85, 'iter_max': 500, 'max_time': 1}",45154.353836173934,303.5845364647216,1.015625,2,Wine
4,Simulated Annealing,"{'t': 500, 'alfa': 0.7, 'iter_max': 350, 'max_time': 1}",45304.111692246894,330.85325117325226,1.015625,2,Wine
5,Simulated Annealing,"{'t': 500, 'alfa': 0.7, 'iter_max': 500, 'max_time': 1}",45458.38196086515,271.40816524461326,1.015625,2,Wine
6,Simulated Annealing,"{'t': 100, 'alfa': 0.95, 'iter_max': 350, 'max_time': 1}",45386.70352757462,574.2739192479727,1.015625,2,Wine
7,Simulated Annealing,"{'t': 100, 'alfa': 0.95, 'iter_max': 500, 'max_time': 1}",45475.4647263621,292.89744383435345,1.015625,2,Wine
8,Simulated Annealing,"{'t': 100, 'alfa': 0.85, 'iter_max': 350, 'max_time': 1}",45263.617262470725,486.7290457020628,1.015625,2,Wine
9,Simulated Annealing,"{'t': 100, 'alfa': 0.85, 'iter_max': 500, 'max_time': 1}",45321.781335269145,655.9437378114815,1.015625,2,Wine
10,Simulated Annealing,"{'t': 100, 'alfa': 0.7, 'iter_max': 350, 'max_time': 1}",45248.027605809635,615.2368341382984,1.015625,2,Wine
11,Simulated Annealing,"{'t': 100, 'alfa': 0.7, 'iter_max': 500, 'max_time': 1}",45245.52290397412,500.5300461274986,1.015625,2,Wine
12,Simulated Annealing,"{'t': 50, 'alfa': 0.95, 'iter_max': 350, 'max_time': 1}",45308.749278673335,497.0188643442272,1.015625,2,Wine
13,Simulated Annealing,"{'t': 50, 'alfa': 0.95, 'iter_max': 500, 'max_time': 1}",45248.559964640524,404.2543432836494,1.015625,2,Wine
14,Simulated Annealing,"{'t': 50, 'alfa': 0.85, 'iter_max': 350, 'max_time': 1}",45496.35087102107,414.16463455175244,1.015625,2,Wine
15,Simulated Annealing,"{'t': 50, 'alfa': 0.85, 'iter_max': 500, 'max_time': 1}",44885.95993094998,681.4634769619823,1.015625,2,Wine
16,Simulated Annealing,"{'t': 50, 'alfa': 0.7, 'iter_max': 350, 'max_time': 1}",45505.00278595199,288.1459795751738,1.015625,2,Wine
17,Simulated Annealing,"{'t': 50, 'alfa': 0.7, 'iter_max': 500, 'max_time': 1}",44984.840953657884,605.5188610534158,1.015625,2,Wine
0,Genético,"{'pop_size': 10, 'cross_ratio': 0.75, 'mut_ratio': 0.1, 'max_time': 1}",45244.87247360605,394.06676555254984,1.015625,2,Wine
1,Genético,"{'pop_size': 10, 'cross_ratio': 0.75, 'mut_ratio': 0.2, 'max_time': 1}",45176.71230235163,275.4288134506956,1.021875,2,Wine
2,Genético,"{'pop_size': 10, 'cross_ratio': 0.85, 'mut_ratio': 0.1, 'max_time': 1}",45465.823839944984,232.707294123328,1.015625,2,Wine
3,Genético,"{'pop_size': 10, 'cross_ratio': 0.85, 'mut_ratio': 0.2, 'max_time': 1}",45044.19006741768,295.3093677913677,1.0234375,2,Wine
4,Genético,"{'pop_size': 10, 'cross_ratio': 0.95, 'mut_ratio': 0.1, 'max_time': 1}",45485.901218016006,235.5278468116842,1.015625,2,Wine
5,Genético,"{'pop_size': 10, 'cross_ratio': 0.95, 'mut_ratio': 0.2, 'max_time': 1}",45452.414815397606,270.8772078467117,1.015625,2,Wine
6,Genético,"{'pop_size': 30, 'cross_ratio': 0.75, 'mut_ratio': 0.1, 'max_time': 1}",46038.38155697007,114.74359416137195,1.04375,2,Wine
7,Genético,"{'pop_size': 30, 'cross_ratio': 0.75, 'mut_ratio': 0.2, 'max_time': 1}",45937.39598271622,114.3428163642547,1.034375,2,Wine
8,Genético,"{'pop_size': 30, 'cross_ratio': 0.85, 'mut_ratio': 0.1, 'max_time': 1}",45986.82062978105,113.74956551102723,1.0375,2,Wine
9,Genético,"{'pop_size': 30, 'cross_ratio': 0.85, 'mut_ratio': 0.2, 'max_time': 1}",45990.61188163255,70.37997705166255,1.0390625,2,Wine
10,Genético,"{'pop_size': 30, 'cross_ratio': 0.95, 'mut_ratio': 0.1, 'max_time': 1}",46047.30851794644,68.66361421921054,1.0453125,2,Wine
11,Genético,"{'pop_size': 30, 'cross_ratio': 0.95, 'mut_ratio': 0.2, 'max_time': 1}",45965.08655055186,66.21340150549847,1.0359375,2,Wine
12,Genético,"{'pop_size': 50, 'cross_ratio': 0.75, 'mut_ratio': 0.1, 'max_time': 1}",46085.02147417421,86.57491875343744,1.0578125,2,Wine
13,Genético,"{'pop_size': 50, 'cross_ratio': 0.75, 'mut_ratio': 0.2, 'max_time': 1}",46098.08946890568,36.68839885322823,1.040625,2,Wine
14,Genético,"{'pop_size': 50, 'cross_ratio': 0.85, 'mut_ratio': 0.1, 'max_time': 1}",46066.713946567725,53.32831881283247,1.05625,2,Wine
15,Genético,"{'pop_size': 50, 'cross_ratio': 0.85, 'mut_ratio': 0.2, 'max_time': 1}",46072.94469738865,33.27056085152025,1.0640625,2,Wine
16,Genético,"{'pop_size': 50, 'cross_ratio': 0.95, 'mut_ratio': 0.1, 'max_time': 1}",46094.22961697304,79.80044989343816,1.0765625,2,Wine
17,Genético,"{'pop_size': 50, 'cross_ratio': 0.95, 'mut_ratio': 0.2, 'max_time': 1}",46029.423514861555,91.28337909204865,1.04375,2,Wine
0,Grasp,"{'numIter': 20, 'numBest': 5, 'max_time': 1}",46271.81284817327,7.275957614183426e-12,1.003125,2,Wine
1,Grasp,"{'numIter': 20, 'numBest': 10, 'max_time': 1}",46232.33520611521,0.0,1.0453125,2,Wine
2,Grasp,"{'numIter': 20, 'numBest': 15, 'max_time': 1}",46194.44371687055,24.382318806502944,1.040625,2,Wine
3,Grasp,"{'numIter': 50, 'numBest': 5, 'max_time': 1}",46271.81284817327,7.275957614183426e-12,1.028125,2,Wine
4,Grasp,"{'numIter': 50, 'numBest': 10, 'max_time': 1}",46267.86508396747,11.843292617420229,1.0375,2,Wine
5,Grasp,"{'numIter': 50, 'numBest': 15, 'max_time': 1}",46255.32889141531,7.275957614183426e-12,1.05,2,Wine
6,Grasp,"{'numIter': 100, 'numBest': 5, 'max_time': 1}",46271.81284817327,7.275957614183426e-12,1.0234375,2,Wine
7,Grasp,"{'numIter': 100, 'numBest': 10, 'max_time': 1}",46271.81284817327,7.275957614183426e-12,1.040625,2,Wine
8,Grasp,"{'numIter': 100, 'numBest': 15, 'max_time': 1}",46255.32889141531,7.275957614183426e-12,1.040625,2,Wine
9,Grasp,"{'numIter': 200, 'numBest': 5, 'max_time': 1}",46271.81284817327,7.275957614183426e-12,1.0203125,2,Wine
10,Grasp,"{'numIter': 200, 'numBest': 10, 'max_time': 1}",46271.81284817327,7.275957614183426e-12,1.028125,2,Wine
11,Grasp,"{'numIter': 200, 'numBest': 15, 'max_time': 1}",46255.32889141531,7.275957614183426e-12,1.04375,2,Wine
12,Grasp,"{'numIter': 350, 'numBest': 5, 'max_time': 1}",46271.81284817327,7.275957614183426e-12,1.0234375,2,Wine
13,Grasp,"{'numIter': 350, 'numBest': 10, 'max_time': 1}",46271.81284817327,7.275957614183426e-12,1.0359375,2,Wine
14,Grasp,"{'numIter': 350, 'numBest': 15, 'max_time': 1}",46255.32889141531,7.275957614183426e-12,1.053125,2,Wine
15,Grasp,"{'numIter': 500, 'numBest': 5, 'max_time': 1}",46271.81284817327,7.275957614183426e-12,1.025,2,Wine
16,Grasp,"{'numIter': 500, 'numBest': 10, 'max_time': 1}",46271.81284817327,7.275957614183426e-12,1.0359375,2,Wine
17,Grasp,"{'numIter': 500, 'numBest': 15, 'max_time': 1}",46255.32889141531,7.275957614183426e-12,1.0515625,2,Wine
0,Simulated Annealing,"{'t': 500, 'alfa': 0.95, 'iter_max': 350, 'max_time': 1}",44758.92374932363,509.67967108243596,1.015625,6,Wine
1,Simulated Annealing,"{'t': 500, 'alfa': 0.95, 'iter_max': 500, 'max_time': 1}",44497.36011408564,557.3260392599551,1.015625,6,Wine
2,Simulated Annealing,"{'t': 500, 'alfa': 0.85, 'iter_max': 350, 'max_time': 1}",44450.96869454973,569.9380203078344,1.015625,6,Wine
3,Simulated Annealing,"{'t': 500, 'alfa': 0.85, 'iter_max': 500, 'max_time': 1}",43798.626763404965,753.9307463520154,1.015625,6,Wine
4,Simulated Annealing,"{'t': 500, 'alfa': 0.7, 'iter_max': 350, 'max_time': 1}",44508.743364032955,616.6352147299734,1.015625,6,Wine
5,Simulated Annealing,"{'t': 500, 'alfa': 0.7, 'iter_max': 500, 'max_time': 1}",44596.50349615143,462.9358427449001,1.015625,6,Wine
6,Simulated Annealing,"{'t': 100, 'alfa': 0.95, 'iter_max': 350, 'max_time': 1}",44378.54948584207,653.0818721331162,1.015625,6,Wine
7,Simulated Annealing,"{'t': 100, 'alfa': 0.95, 'iter_max': 500, 'max_time': 1}",44074.76082140049,456.0396991182651,1.015625,6,Wine
8,Simulated Annealing,"{'t': 100, 'alfa': 0.85, 'iter_max': 350, 'max_time': 1}",44151.94250749016,574.1328249671205,1.015625,6,Wine
9,Simulated Annealing,"{'t': 100, 'alfa': 0.85, 'iter_max': 500, 'max_time': 1}",44379.14263708315,543.3031624581547,1.015625,6,Wine
10,Simulated Annealing,"{'t': 100, 'alfa': 0.7, 'iter_max': 350, 'max_time': 1}",44185.61245661706,518.6444637536837,1.015625,6,Wine
11,Simulated Annealing,"{'t': 100, 'alfa': 0.7, 'iter_max': 500, 'max_time': 1}",44402.40305811922,754.3280217705977,1.015625,6,Wine
12,Simulated Annealing,"{'t': 50, 'alfa': 0.95, 'iter_max': 350, 'max_time': 1}",44148.12154356191,872.4932321677969,1.015625,6,Wine
13,Simulated Annealing,"{'t': 50, 'alfa': 0.95, 'iter_max': 500, 'max_time': 1}",44171.36809986409,689.8973812721359,1.015625,6,Wine
14,Simulated Annealing,"{'t': 50, 'alfa': 0.85, 'iter_max': 350, 'max_time': 1}",44089.91562219737,629.4714880351673,1.015625,6,Wine
15,Simulated Annealing,"{'t': 50, 'alfa': 0.85, 'iter_max': 500, 'max_time': 1}",44638.79393892175,316.12460915883446,1.015625,6,Wine
16,Simulated Annealing,"{'t': 50, 'alfa': 0.7, 'iter_max': 350, 'max_time': 1}",44470.09358211198,546.2342129738311,1.015625,6,Wine
17,Simulated Annealing,"{'t': 50, 'alfa': 0.7, 'iter_max': 500, 'max_time': 1}",44190.997426896225,645.9075321187377,1.015625,6,Wine
0,Genético,"{'pop_size': 10, 'cross_ratio': 0.75, 'mut_ratio': 0.1, 'max_time': 1}",45061.71762321198,259.8039224561279,1.015625,6,Wine
1,Genético,"{'pop_size': 10, 'cross_ratio': 0.75, 'mut_ratio': 0.2, 'max_time': 1}",44572.021708860426,387.13326075691293,1.015625,6,Wine
2,Genético,"{'pop_size': 10, 'cross_ratio': 0.85, 'mut_ratio': 0.1, 'max_time': 1}",45198.52326580686,192.44363391249556,1.0171875,6,Wine
3,Genético,"{'pop_size': 10, 'cross_ratio': 0.85, 'mut_ratio': 0.2, 'max_time': 1}",44798.17415375252,308.8448136811855,1.01875,6,Wine
4,Genético,"{'pop_size': 10, 'cross_ratio': 0.95, 'mut_ratio': 0.1, 'max_time': 1}",45247.84077510949,144.76696377770023,1.01875,6,Wine
5,Genético,"{'pop_size': 10, 'cross_ratio': 0.95, 'mut_ratio': 0.2, 'max_time': 1}",44852.61200154685,260.174764359609,1.01875,6,Wine
6,Genético,"{'pop_size': 30, 'cross_ratio': 0.75, 'mut_ratio': 0.1, 'max_time': 1}",45648.26876801875,106.02482329974113,1.0328125,6,Wine
7,Genético,"{'pop_size': 30, 'cross_ratio': 0.75, 'mut_ratio': 0.2, 'max_time': 1}",45592.58425271361,142.67331161668142,1.0421875,6,Wine
8,Genético,"{'pop_size': 30, 'cross_ratio': 0.85, 'mut_ratio': 0.1, 'max_time': 1}",45681.88289147722,144.49176188471884,1.0328125,6,Wine
9,Genético,"{'pop_size': 30, 'cross_ratio': 0.85, 'mut_ratio': 0.2, 'max_time': 1}",45577.79392488941,187.45290143422326,1.034375,6,Wine
10,Genético,"{'pop_size': 30, 'cross_ratio': 0.95, 'mut_ratio': 0.1, 'max_time': 1}",45754.38937993553,126.59994146143298,1.0375,6,Wine
11,Genético,"{'pop_size': 30, 'cross_ratio': 0.95, 'mut_ratio': 0.2, 'max_time': 1}",45680.37058262314,113.05256605318154,1.0375,6,Wine
12,Genético,"{'pop_size': 50, 'cross_ratio': 0.75, 'mut_ratio': 0.1, 'max_time': 1}",45685.76770824938,114.41454768435007,1.075,6,Wine
13,Genético,"{'pop_size': 50, 'cross_ratio': 0.75, 'mut_ratio': 0.2, 'max_time': 1}",45722.40742220953,101.69541343394796,1.0875,6,Wine
14,Genético,"{'pop_size': 50, 'cross_ratio': 0.85, 'mut_ratio': 0.1, 'max_time': 1}",45777.0964538601,94.46717681209849,1.0640625,6,Wine
15,Genético,"{'pop_size': 50, 'cross_ratio': 0.85, 'mut_ratio': 0.2, 'max_time': 1}",45707.64680872088,136.80083220659753,1.0953125,6,Wine
16,Genético,"{'pop_size': 50, 'cross_ratio': 0.95, 'mut_ratio': 0.1, 'max_time': 1}",45816.46951867313,82.94262963398819,1.0859375,6,Wine
17,Genético,"{'pop_size': 50, 'cross_ratio': 0.95, 'mut_ratio': 0.2, 'max_time': 1}",45715.26364122979,120.16574903564184,1.0515625,6,Wine
0,Grasp,"{'numIter': 20, 'numBest': 5, 'max_time': 1}",45973.234707552474,6.914420603683914,1.0484375,6,Wine
1,Grasp,"{'numIter': 20, 'numBest': 10, 'max_time': 1}",45982.214711789464,7.275957614183426e-12,1.065625,6,Wine
2,Grasp,"{'numIter': 20, 'numBest': 15, 'max_time': 1}",45904.51071570266,54.84849529284942,1.046875,6,Wine
3,Grasp,"{'numIter': 50, 'numBest': 5, 'max_time': 1}",46008.48034280537,4.364565846740152,1.034375,6,Wine
4,Grasp,"{'numIter': 50, 'numBest': 10, 'max_time': 1}",46023.96122036036,0.0,1.034375,6,Wine
5,Grasp,"{'numIter': 50, 'numBest': 15, 'max_time': 1}",45935.35781502931,7.275957614183426e-12,1.075,6,Wine
6,Grasp,"{'numIter': 100, 'numBest': 5, 'max_time': 1}",46023.96122036036,0.0,1.0375,6,Wine
7,Grasp,"{'numIter': 100, 'numBest': 10, 'max_time': 1}",46023.96122036036,0.0,1.0203125,6,Wine
8,Grasp,"{'numIter': 100, 'numBest': 15, 'max_time': 1}",45935.35781502931,7.275957614183426e-12,1.0625,6,Wine
9,Grasp,"{'numIter': 200, 'numBest': 5, 'max_time': 1}",46023.96122036036,0.0,1.03125,6,Wine
10,Grasp,"{'numIter': 200, 'numBest': 10, 'max_time': 1}",46023.96122036036,0.0,1.025,6,Wine
11,Grasp,"{'numIter': 200, 'numBest': 15, 'max_time': 1}",45935.35781502931,7.275957614183426e-12,1.0671875,6,Wine
12,Grasp,"{'numIter': 350, 'numBest': 5, 'max_time': 1}",46023.96122036036,0.0,1.0359375,6,Wine
13,Grasp,"{'numIter': 350, 'numBest': 10, 'max_time': 1}",46023.96122036036,0.0,1.025,6,Wine
14,Grasp,"{'numIter': 350, 'numBest': 15, 'max_time': 1}",45935.35781502931,7.275957614183426e-12,1.075,6,Wine
15,Grasp,"{'numIter': 500, 'numBest': 5, 'max_time': 1}",46023.96122036036,0.0,1.034375,6,Wine
16,Grasp,"{'numIter': 500, 'numBest': 10, 'max_time': 1}",46023.96122036036,0.0,1.0359375,6,Wine
17,Grasp,"{'numIter': 500, 'numBest': 15, 'max_time': 1}",45935.35781502931,7.275957614183426e-12,1.0671875,6,Wine
0,Simulated Annealing,"{'t': 500, 'alfa': 0.95, 'iter_max': 350, 'max_time': 1}",43156.9019086109,748.6718713255327,1.015625,9,Wine
1,Simulated Annealing,"{'t': 500, 'alfa': 0.95, 'iter_max': 500, 'max_time': 1}",43507.78157850042,520.7633130907776,1.015625,9,Wine
2,Simulated Annealing,"{'t': 500, 'alfa': 0.85, 'iter_max': 350, 'max_time': 1}",43587.68340992373,743.0223256624466,1.015625,9,Wine
3,Simulated Annealing,"{'t': 500, 'alfa': 0.85, 'iter_max': 500, 'max_time': 1}",43515.414679386995,437.1448470759656,1.015625,9,Wine
4,Simulated Annealing,"{'t': 500, 'alfa': 0.7, 'iter_max': 350, 'max_time': 1}",43472.74841485806,640.866631857573,1.015625,9,Wine
5,Simulated Annealing,"{'t': 500, 'alfa': 0.7, 'iter_max': 500, 'max_time': 1}",43676.1727867611,434.4277069722977,1.015625,9,Wine
6,Simulated Annealing,"{'t': 100, 'alfa': 0.95, 'iter_max': 350, 'max_time': 1}",43575.39325074224,442.26333993044597,1.015625,9,Wine
7,Simulated Annealing,"{'t': 100, 'alfa': 0.95, 'iter_max': 500, 'max_time': 1}",43346.05068648632,547.8225646526859,1.015625,9,Wine
8,Simulated Annealing,"{'t': 100, 'alfa': 0.85, 'iter_max': 350, 'max_time': 1}",43390.74247059078,424.3704846649245,1.015625,9,Wine
9,Simulated Annealing,"{'t': 100, 'alfa': 0.85, 'iter_max': 500, 'max_time': 1}",43218.30609536537,744.2422302168338,1.015625,9,Wine
10,Simulated Annealing,"{'t': 100, 'alfa': 0.7, 'iter_max': 350, 'max_time': 1}",43426.57689493451,380.8887489379556,1.015625,9,Wine
