,Heuristica,Configuração,Média,Desvio Padrão,Tempo médio,K,Base
0,Simulated Annealing,"{'t': 100, 'alfa': 0.85, 'iter_max': 500, 'max_time': 1}",44971.08188914154,561.5062703502521,1.015625,3,Wine
0,Genético,"{'pop_size': 10, 'cross_ratio': 0.75, 'mut_ratio': 0.2, 'max_time': 1}",44485.44866997814,518.6200863070433,1.01953125,3,Wine
0,Grasp,"{'numIter': 20, 'numBest': 5, 'max_time': 1}",45776.9465512856,13.60326537770435,1.046875,3,Wine
0,Simulated Annealing,"{'t': 100, 'alfa': 0.85, 'iter_max': 500, 'max_time': 1}",43923.1620554274,403.9995189971242,1.015625,5,Wine
0,Genético,"{'pop_size': 10, 'cross_ratio': 0.75, 'mut_ratio': 0.2, 'max_time': 1}",42339.711145918474,603.4008246466225,1.01875,5,Wine
0,Grasp,"{'numIter': 20, 'numBest': 5, 'max_time': 1}",44310.740121837734,7.275957614183426e-12,1.040625,5,Wine
0,Simulated Annealing,"{'t': 100, 'alfa': 0.85, 'iter_max': 500, 'max_time': 1}",42449.14662186512,944.6170932838011,1.015625,13,Wine
0,Genético,"{'pop_size': 10, 'cross_ratio': 0.75, 'mut_ratio': 0.2, 'max_time': 1}",42085.62951514928,574.1543260200456,1.01953125,13,Wine
0,Grasp,"{'numIter': 20, 'numBest': 5, 'max_time': 1}",43069.03578365986,29.93550278502397,1.07109375,13,Wine
0,Simulated Annealing,"{'t': 100, 'alfa': 0.85, 'iter_max': 500, 'max_time': 1}",42123.42434760178,811.8518009800868,1.015625,15,Wine
0,Genético,"{'pop_size': 10, 'cross_ratio': 0.75, 'mut_ratio': 0.2, 'max_time': 1}",41582.5045324467,535.799803339546,1.01953125,15,Wine
0,Grasp,"{'numIter': 20, 'numBest': 5, 'max_time': 1}",43226.586259318676,19.703147639182028,1.071875,15,Wine
0,Simulated Annealing,"{'t': 100, 'alfa': 0.85, 'iter_max': 500, 'max_time': 1}",41199.41237805311,842.2279199295212,1.015625,20,Wine
0,Genético,"{'pop_size': 10, 'cross_ratio': 0.75, 'mut_ratio': 0.2, 'max_time': 1}",40136.12773069171,651.2982164737393,1.01953125,20,Wine
0,Grasp,"{'numIter': 20, 'numBest': 5, 'max_time': 1}",42035.138041329745,14.397488852524965,1.0921875,20,Wine
0,Simulated Annealing,"{'t': 100, 'alfa': 0.85, 'iter_max': 500, 'max_time': 1}",40269.0137209749,1087.3734301263273,1.015625,23,Wine
0,Genético,"{'pop_size': 10, 'cross_ratio': 0.75, 'mut_ratio': 0.2, 'max_time': 1}",39958.30933203502,652.1792466770296,1.021875,23,Wine
0,Grasp,"{'numIter': 20, 'numBest': 5, 'max_time': 1}",40862.96254565941,19.21478836244386,1.0875,23,Wine
0,Simulated Annealing,"{'t': 100, 'alfa': 0.85, 'iter_max': 500, 'max_time': 1}",39691.766463474705,1035.8238987721074,1.015625,25,Wine
0,Genético,"{'pop_size': 10, 'cross_ratio': 0.75, 'mut_ratio': 0.2, 'max_time': 1}",39779.71136036707,503.0111358940303,1.021875,25,Wine
0,Grasp,"{'numIter': 20, 'numBest': 5, 'max_time': 1}",41186.06671614993,28.20933184880593,1.12890625,25,Wine
0,Simulated Annealing,"{'t': 100, 'alfa': 0.85, 'iter_max': 500, 'max_time': 1}",39112.64528754669,971.3425004552048,1.015625,30,Wine
0,Genético,"{'pop_size': 10, 'cross_ratio': 0.75, 'mut_ratio': 0.2, 'max_time': 1}",38688.302546054896,742.2613186716699,1.01875,30,Wine
0,Grasp,"{'numIter': 20, 'numBest': 5, 'max_time': 1}",39835.14812673938,67.0987009040543,1.146875,30,Wine
0,Simulated Annealing,"{'t': 100, 'alfa': 0.85, 'iter_max': 500, 'max_time': 1}",36604.692198869765,1099.2156055941125,1.015625,41,Wine
0,Genético,"{'pop_size': 10, 'cross_ratio': 0.75, 'mut_ratio': 0.2, 'max_time': 1}",37696.70428689879,712.3190551715721,1.02109375,41,Wine
0,Grasp,"{'numIter': 20, 'numBest': 5, 'max_time': 1}",38770.09571881824,25.005714202571188,1.26640625,41,Wine
0,Simulated Annealing,"{'t': 100, 'alfa': 0.85, 'iter_max': 500, 'max_time': 1}",35962.1102709729,1205.6887515372719,1.015625,45,Wine
0,Genético,"{'pop_size': 10, 'cross_ratio': 0.75, 'mut_ratio': 0.2, 'max_time': 1}",36685.228891880906,558.7466623667253,1.0234375,45,Wine
0,Grasp,"{'numIter': 20, 'numBest': 5, 'max_time': 1}",37567.02168775267,41.48848664326116,1.0921875,45,Wine
