,Heuristica,Configuração,Média,Desvio Padrão,Tempo médio,K,Base
0,Grasp,"{'numIter': 20, 'numBest': 15, 'max_time': 1}",45930.48913215364,17.43890328890558,1.0546875,3,Wine
0,Grasp,"{'numIter': 20, 'numBest': 15, 'max_time': 1}",44246.62614804298,71.6439320901971,1.06328125,5,Wine
0,Grasp,"{'numIter': 20, 'numBest': 15, 'max_time': 1}",43512.003611146574,45.22672705924761,1.08515625,13,Wine
0,Grasp,"{'numIter': 20, 'numBest': 15, 'max_time': 1}",44042.56820483857,60.96419254741957,1.096875,15,Wine
0,Grasp,"{'numIter': 20, 'numBest': 15, 'max_time': 1}",40041.23314347675,7.275957614183426e-12,1.10625,20,Wine
0,Grasp,"{'numIter': 20, 'numBest': 15, 'max_time': 1}",42618.07120533667,7.275957614183426e-12,1.1921875,23,Wine
0,Grasp,"{'numIter': 20, 'numBest': 15, 'max_time': 1}",42075.335432279986,0.14892214354914837,1.11328125,25,Wine
0,Grasp,"{'numIter': 20, 'numBest': 15, 'max_time': 1}",40550.86935449207,7.275957614183426e-12,1.06484375,30,Wine
0,Grasp,"{'numIter': 20, 'numBest': 15, 'max_time': 1}",38191.439424847675,1.4551915228366852e-11,1.21875,41,Wine
0,Grasp,"{'numIter': 20, 'numBest': 15, 'max_time': 1}",37114.452265068925,7.275957614183426e-12,1.2421875,45,Wine
