,Heuristica,Configuração,Média,Desvio Padrão,Tempo médio,K,Base
0,K-means,-,128.33666542899806,0.0,0.01953125,50,Iris
1,K-means,-,83.64509422266308,0.06064772614922653,0.0359375,50,Iris
2,K-means,-,61.91560543110528,0.38737404239077194,0.04765625,50,Iris
3,K-means,-,55.574158725235954,0.3286097446792022,0.06953125,50,Iris
4,K-means,-,49.373765367770446,0.3818841541912133,0.084375,50,Iris
5,K-means,-,47.01137878548606,0.2815987668231375,0.08359375,50,Iris
6,K-means,-,40.83286919127906,0.25379341068503597,0.10078125,50,Iris
7,K-means,-,37.25031810494717,0.22824667178378813,0.15234375,50,Iris
8,K-means,-,34.51655225712155,0.27097321565583565,0.16640625,50,Iris
9,K-means,-,25.270154926245006,0.19231590481302283,0.20703125,50,Iris
0,K-means,-,16555.679416032726,3.637978807091713e-12,0.03359375,45,Wine
1,K-means,-,10668.530182697252,2.406296799622024e-12,0.03515625,45,Wine
2,K-means,-,4421.646370366073,24.003672610878336,0.06796875,45,Wine
3,K-means,-,3863.7831091933213,56.15849637873555,0.0734375,45,Wine
4,K-means,-,3146.26820423732,35.392051068533824,0.08828125,45,Wine
5,K-means,-,2879.7163645822607,26.884704452684566,0.096875,45,Wine
6,K-means,-,2723.7314824319524,30.538355913108706,0.1109375,45,Wine
7,K-means,-,2366.4635438668947,27.397520512372232,0.12890625,45,Wine
8,K-means,-,1770.9256060739797,20.52751694192143,0.178125,45,Wine
9,K-means,-,1624.2648889866216,9.739184167684382,0.1828125,45,Wine
0,K-means,-,796.4666759281233,1.1368683772161603e-13,0.0734375,50,Ionosphere
1,K-means,-,746.8070149889041,2.824073287772366,0.08828125,50,Ionosphere
2,K-means,-,680.538784527248,1.9230477496025051,0.11796875,50,Ionosphere
3,K-means,-,599.6559849045848,6.985204232875405,0.17421875,50,Ionosphere
4,K-means,-,567.7960963866836,4.053383387939194,0.2234375,50,Ionosphere
5,K-means,-,542.0723147826671,3.710356189418334,0.27890625,50,Ionosphere
6,K-means,-,514.8027289622262,2.5183983118956776,0.33203125,50,Ionosphere
7,K-means,-,492.2614750013584,3.2080070773783502,0.38828125,50,Ionosphere
8,K-means,-,447.41830463977965,2.2220372030783078,0.48046875,50,Ionosphere
9,K-means,-,402.4533490404825,2.879935885630041,0.59375,50,Ionosphere
