,0,1,2,3,4,5,6,7,8,9,10
0,ZeroR,0.058073851357917906,0.39546515856328746,0.4369232540886576,4.230984524662128e-41,4.6162062820481733e-51,6.112174745905063e-49,5.020092154149025e-56,3.147893828781737e-56,3.733775669269723e-45,6.661827080456421e-56
1,0.08540796806040285,Aleatório,0.038459378308334326,0.4124842917906878,2.4208226628715017e-37,4.63490048910253e-42,1.7401432662555937e-42,1.5998166479126158e-44,1.9468016653285755e-44,1.062595875276921e-39,1.048887213381205e-44
2,0.568849042727062,0.047837170284028785,Aleatório Estratificado,0.2602311286607689,1.337922210250832e-40,1.000479489168843e-43,1.2783678341779864e-42,7.980277394488193e-46,5.859176614296247e-45,1.9966296470748666e-41,1.1650215163824888e-45
3,0.2935707806042078,0.5536838756820386,0.3259837814126725,OneR Probabilístico,1.6731435306445835e-36,1.114555051766723e-42,7.57725033099151e-42,6.428723552733574e-44,3.6026060968225854e-44,9.353913025687028e-40,2.744244403615026e-44
4,1.7083716990437344e-06,1.7224282827430733e-06,1.7202594665136766e-06,1.7311263949197288e-06,Naive Bayes Gaussiano,1.0528585312835246e-22,1.419605557512514e-19,8.456757158893541e-26,2.6715261334049914e-25,1.66783065436935e-10,1.0550730435186246e-24
5,1.6965526182776899e-06,1.7300371292901245e-06,1.7300371292901245e-06,1.7224282827430733e-06,1.7191759138770554e-06,KmeansCentroides,9.563616486035976e-12,8.411954791782312e-10,6.41972760174202e-11,6.985158660078408e-18,1.2598140662795535e-09
6,1.6944110497108883e-06,1.6954815515692352e-06,1.7213435893906393e-06,1.7311263949197288e-06,1.7245993818153558e-06,2.5527446889909943e-06,KGACentroides,5.17535813502102e-19,4.566756040584043e-19,5.86247435115723e-11,3.9307105901183995e-17
7,1.6890670049981201e-06,1.7180929312456739e-06,1.7159286750586906e-06,1.726772765612998e-06,1.7213435893906393e-06,3.821220724290259e-06,1.7180929312456739e-06,Knn,0.10757135038735585,5.850005772627947e-21,0.40675654503979586
8,1.6762987141123665e-06,1.7083716990437344e-06,1.7245993818153558e-06,1.7256857880058036e-06,1.7224282827430733e-06,2.563973729910106e-06,1.7224282827430733e-06,0.12608300007859477,DistKnn,1.0652933146679194e-20,0.8742648103115445
9,1.7040659206732472e-06,1.711606992411454e-06,1.7202594665136766e-06,1.7213435893906393e-06,2.5985795409225433e-06,1.7170105183845441e-06,2.0062407966178175e-06,1.7256857880058036e-06,1.7180929312456739e-06,Árvore de Decisão,2.3203071021194527e-22
10,1.6447303239552728e-06,1.7245993818153558e-06,1.7191759138770554e-06,1.7256857880058036e-06,1.7235135468062213e-06,7.280412044514821e-06,1.7062176754796548e-06,0.5081663015349851,0.9481364992772939,1.7094495621956692e-06,Florestas de Árvores
