,0,1,2,3,4,5,6,7,8,9,10
0,ZeroR,0.06324310478957978,0.00045067438644494313,8.438476726596278e-11,1.1425147058806015e-29,1.1319215575048434e-30,1.2536989526877342e-30,1.1297799348101337e-28,2.6783408816792406e-28,1.1327216649369768e-26,2.7474756623850752e-33
1,0.03300498117392743,Aleatório,0.08527290663401632,4.543114126668745e-09,1.3708145028910674e-21,2.235743987542403e-21,2.18152967357122e-21,3.067508189321423e-21,3.25339679148567e-21,4.870302683119271e-19,9.081737277581073e-22
2,0.002106644572544416,0.11174716279284488,Aleatório Estratificado,9.269555972914833e-11,6.428103129223778e-22,6.088051727890011e-22,6.048021675199174e-22,2.964006957767315e-21,3.595772913626848e-21,4.447138591178884e-20,2.2576784463345887e-22
3,3.3301336234871975e-06,6.8081886259909125e-06,3.148455658358093e-06,OneR Probabilístico,9.112666656569272e-18,8.379820049510601e-17,7.372542095604209e-17,1.3938931763077153e-16,1.7899330283040034e-16,6.853877395671037e-15,1.2199575940629167e-17
4,8.056983213913102e-07,1.6858673414334802e-06,1.7008425382861862e-06,1.6489105134644262e-06,Naive Bayes Gaussiano,0.5050449210253589,0.7307352653324033,0.05271217858365924,0.017861489816897058,2.608148438274159e-08,0.3584490301406341
5,1.138163857671239e-06,1.6510039351080608e-06,1.6965526182776899e-06,1.6805458207281375e-06,0.763024600552995,KmeansCentroides,0.32558198801619376,0.09430453174093903,0.0543168039555563,9.315763482928451e-08,0.16413187419073422
6,1.0694298526292105e-06,1.6699448692230351e-06,1.6965526182776899e-06,1.6710024438606673e-06,1.0,0.31731050786291415,KGACentroides,0.055278043652527566,0.031223022076802973,1.0913535557167477e-07,0.24595321636114287
7,1.2490318300132333e-06,1.6965526182776899e-06,1.679483202276532e-06,1.6944110497108883e-06,0.11458867939991153,0.0832645166635504,0.05220363534131467,Knn,0.32558198801619365,3.057105986694848e-07,0.0218147417498838
8,1.2498611189428947e-06,1.6965526182776899e-06,1.6805458207281375e-06,1.6944110497108883e-06,0.02013675155034634,0.04557915478792565,0.029303072040448363,0.31731050786291415,DistKnn,1.4059417568443521e-06,0.018619329486436863
9,1.5019646028518946e-06,1.7159286750586906e-06,1.690134686108154e-06,1.666775499957924e-06,2.6405815342501152e-05,3.6478650078252776e-05,3.595833768058666e-05,5.146008747543534e-05,0.00012967412375728811,Árvore de Decisão,6.321685235046084e-10
10,9.966534732150185e-07,1.6805458207281375e-06,1.7029908934686465e-06,1.6615043860971686e-06,0.49624247444426295,0.18578872162135962,0.2710916369317352,0.018352004573525482,0.018352004573525482,7.593549779614533e-06,Florestas de Árvores
